filtro,freq_hz,arquivo_fonte,Ve_Vpp,Vs_Vpp,fase_graus,observacao
PA,3000,Amplitude_PA_3000hz_M.png,4.99,4.69,20.3,"Contador interno confirma 3,00000kHz. Arquivo alternativo Amplitude_PA_3000hz.png sem fase - descartado."
PA,6000,Amplitude_PA_6000hz.png,4.99,4.90,10.3,"Contador interno confirma 6,00000kHz."
PA,10000,Amplitude_PA_10000hz_periodo_e_fase.png,19.8,19.5,6.32,"Contador interno confirma 9,99999kHz."
PA,20000,Amplitude_PA_20000hz.png,19.7,19.6,3.46,"Contador interno confirma 19,9999kHz."
PA,30000,Amplitude_PA_30000hz.png,19.8,19.6,2.59,"Contador interno confirma 29,9999kHz."
PA,40000,Amplitude_PA_40000hz.png,19.4,19.5,1.37,"Contador interno confirma 39,9999kHz."
PB,10,Amplitudes_PB_10hz.png,4.12,4.12,-0.72,"Contador interno mostra <10Hz (compativel com 10Hz). Fase original -720m graus."
PB,30,Amplitudes_PB_30hz.png,4.92,4.92,-0.863,"Contador interno confirma 29,9965Hz. Fase original -863m graus."
PB,60,Amplitude_PB_60hz.png,5.00,5.00,-2.81,"Contador interno confirma 60,0002Hz."
PB,100,Amplitudes_PB_100hz.png,5.00,5.04,-6.47,"Contador interno confirma 99,9984Hz."
PB,300,Amplitudes_PB_300hz.png,5.00,4.84,-15.5,"Contador interno confirma 300,004Hz."
PB,600,Amplitudes_PB_600hz.png,5.00,4.42,-28.3,"Contador interno confirma 600,006Hz."
PB,800,Amplitude_PB_800hz.png,5.02,3.99,-36.1,"Contador interno confirma 799,995Hz."
PB,1000,Amplitudes_PB_1000hz.png,4.92,3.64,-42.4,"Contador interno confirma 1,00000kHz."
PB,1300,Amplitudes_PB_1300hz.png,5.05,3.24,-50.0,"Contador interno confirma 1,30000kHz."
PB,2000,Amplitudes_PB_2000hz.png,4.99,2.38,-60.5,"Contador interno confirma 2,00000kHz."
PB,3000,Amplitudes_PB_3000hz.png,4.95,1.70,-68.4,"Contador interno confirma 2,99999kHz."
PB,6000,Amplitudes_PB_6000hz.png,4.99,0.881,-78.6,"Contador interno confirma 5,99999kHz."
PB,10000,Amplitudes_PB_10000hz.png,4.99,0.529,-83.2,"Contador interno confirma 9,99998kHz."
PB,20000,Amplitudes_PB_20000hz.png,4.96,0.268,-85.5,"Contador interno confirma 19,9999kHz."
PB,30000,Amplitudes_PB_30000hz.png,4.96,0.184,-85.5,"Contador interno confirma 29,9999kHz."
PB,40000,Amplitudes_PB_40000hz.png,4.92,0.140,-84.9,"Contador interno confirma 39,9999kHz."
